user_id,used_feature,feature_usage_date,feature_usage_count
U00001,True,2023-04-27,15
U00002,False,,0
U00003,True,2023-12-21,2
U00004,False,,0
U00005,True,2023-04-13,6
U00006,False,,0
U00007,False,,0
U00008,False,,0
U00009,True,2023-07-13,9
U00010,True,2023-08-13,1
U00011,False,,0
U00012,False,,0
U00013,False,,0
U00014,False,,0
U00015,True,2023-09-04,4
U00016,True,2023-05-26,15
U00017,True,2023-08-06,6
U00018,False,,0
U00019,False,,0
U00020,False,,0
U00021,False,,0
U00022,True,2023-09-15,8
U00023,False,,0
U00024,False,,0
U00025,False,,0
U00026,True,2023-03-02,6
U00027,True,2023-10-17,6
U00028,False,,0
U00029,False,,0
U00030,False,,0
U00031,False,,0
U00032,True,2023-07-30,1
U00033,True,2023-07-29,2
U00034,True,2023-12-23,2
U00035,True,2023-08-08,13
U00036,True,2023-08-06,12
U00037,True,2023-05-13,2
U00038,True,2024-03-04,11
U00039,True,2023-04-01,7
U00040,True,2023-10-19,12
U00041,False,,0
U00042,False,,0
U00043,True,2023-11-28,2
U00044,True,2023-08-19,15
U00045,False,,0
U00046,False,,0
U00047,True,2023-08-05,15
U00048,True,2023-12-26,9
U00049,False,,0
U00050,True,2023-12-17,5
U00051,False,,0
U00052,False,,0
U00053,False,,0
U00054,False,,0
U00055,True,2023-04-13,10
U00056,False,,0
U00057,True,2023-07-09,9
U00058,False,,0
U00059,True,2023-03-20,4
U00060,True,2023-10-21,6
U00061,False,,0
U00062,False,,0
U00063,True,2024-03-16,13
U00064,False,,0
U00065,False,,0
U00066,False,,0
U00067,False,,0
U00068,False,,0
U00069,False,,0
U00070,False,,0
U00071,False,,0
U00072,False,,0
U00073,True,2023-08-17,14
U00074,False,,0
U00075,True,2024-02-09,13
U00076,False,,0
U00077,False,,0
U00078,False,,0
U00079,False,,0
U00080,True,2023-09-14,12
U00081,False,,0
U00082,False,,0
U00083,False,,0
U00084,False,,0
U00085,False,,0
U00086,False,,0
U00087,True,2023-11-28,2
U00088,True,2023-10-04,5
U00089,True,2023-10-21,6
U00090,False,,0
U00091,True,2023-04-29,4
U00092,False,,0
U00093,False,,0
U00094,True,2024-01-07,12
U00095,False,,0
U00096,False,,0
U00097,False,,0
U00098,True,2023-04-02,11
U00099,True,2023-12-26,11
U00100,False,,0
U00101,True,2023-08-21,11
U00102,False,,0
U00103,True,2023-07-29,3
U00104,False,,0
U00105,False,,0
U00106,False,,0
U00107,True,2023-11-29,15
U00108,False,,0
U00109,True,2023-02-25,15
U00110,True,2023-02-14,9
U00111,True,2023-08-10,5
U00112,False,,0
U00113,False,,0
U00114,False,,0
U00115,False,,0
U00116,False,,0
U00117,True,2023-05-04,10
U00118,False,,0
U00119,False,,0
U00120,False,,0
U00121,False,,0
U00122,False,,0
U00123,False,,0
U00124,False,,0
U00125,False,,0
U00126,False,,0
U00127,False,,0
U00128,True,2023-12-04,14
U00129,True,2023-04-10,9
U00130,False,,0
U00131,True,2023-11-04,9
U00132,False,,0
U00133,False,,0
U00134,False,,0
U00135,True,2023-04-16,8
U00136,True,2024-01-17,7
U00137,True,2023-05-14,9
U00138,True,2023-08-08,2
U00139,False,,0
U00140,True,2024-03-27,6
U00141,False,,0
U00142,False,,0
U00143,True,2023-04-02,1
U00144,True,2023-06-05,7
U00145,False,,0
U00146,False,,0
U00147,False,,0
U00148,False,,0
U00149,False,,0
U00150,True,2023-03-22,1
U00151,True,2023-03-06,6
U00152,False,,0
U00153,False,,0
U00154,False,,0
U00155,False,,0
U00156,True,2023-10-19,4
U00157,True,2023-05-07,14
U00158,True,2023-11-10,13
U00159,True,2023-04-24,5
U00160,False,,0
U00161,True,2023-04-14,8
U00162,False,,0
U00163,False,,0
U00164,False,,0
U00165,True,2023-02-07,5
U00166,False,,0
U00167,False,,0
U00168,True,2024-03-05,13
U00169,False,,0
U00170,True,2024-01-12,1
U00171,False,,0
U00172,True,2024-02-21,14
U00173,False,,0
U00174,False,,0
U00175,False,,0
U00176,False,,0
U00177,False,,0
U00178,True,2023-06-05,9
U00179,False,,0
U00180,True,2023-10-06,13
U00181,False,,0
U00182,False,,0
U00183,True,2023-08-10,10
U00184,True,2024-01-06,5
U00185,False,,0
U00186,True,2023-11-09,9
U00187,True,2024-01-10,15
U00188,False,,0
U00189,True,2023-09-09,14
U00190,True,2023-07-31,14
U00191,False,,0
U00192,True,2023-07-29,10
U00193,False,,0
U00194,False,,0
U00195,False,,0
U00196,True,2023-05-24,7
U00197,False,,0
U00198,True,2023-03-09,4
U00199,False,,0
U00200,True,2024-01-13,3
U00201,False,,0
U00202,True,2023-06-19,14
U00203,False,,0
U00204,True,2023-05-19,15
U00205,False,,0
U00206,True,2023-07-11,10
U00207,False,,0
U00208,False,,0
U00209,True,2023-09-11,7
U00210,True,2023-05-17,15
U00211,True,2024-01-11,7
U00212,False,,0
U00213,True,2023-10-24,13
U00214,False,,0
U00215,True,2023-06-29,5
U00216,False,,0
U00217,False,,0
U00218,False,,0
U00219,False,,0
U00220,False,,0
U00221,True,2023-12-04,1
U00222,False,,0
U00223,False,,0
U00224,False,,0
U00225,False,,0
U00226,True,2023-10-22,4
U00227,False,,0
U00228,False,,0
U00229,True,2024-02-06,3
U00230,False,,0
U00231,True,2023-10-13,5
U00232,False,,0
U00233,False,,0
U00234,False,,0
U00235,False,,0
U00236,True,2023-07-25,15
U00237,False,,0
U00238,False,,0
U00239,False,,0
U00240,True,2023-11-11,14
U00241,False,,0
U00242,True,2023-10-03,4
U00243,True,2024-01-17,11
U00244,False,,0
U00245,False,,0
U00246,False,,0
U00247,False,,0
U00248,False,,0
U00249,True,2023-06-21,11
U00250,True,2023-04-10,1
U00251,False,,0
U00252,True,2024-02-07,4
U00253,False,,0
U00254,True,2023-12-25,13
U00255,True,2023-09-02,7
U00256,False,,0
U00257,False,,0
U00258,True,2023-11-24,14
U00259,True,2023-10-22,14
U00260,False,,0
U00261,False,,0
U00262,False,,0
U00263,True,2023-03-28,6
U00264,False,,0
U00265,True,2023-12-23,9
U00266,True,2023-11-16,2
U00267,True,2023-07-10,7
U00268,True,2023-03-02,9
U00269,False,,0
U00270,False,,0
U00271,False,,0
U00272,False,,0
U00273,True,2023-08-12,2
U00274,True,2023-12-03,15
U00275,True,2023-09-05,1
U00276,False,,0
U00277,False,,0
U00278,False,,0
U00279,False,,0
U00280,True,2023-09-10,15
U00281,True,2023-06-01,14
U00282,False,,0
U00283,False,,0
U00284,True,2023-07-19,13
U00285,True,2024-02-09,5
U00286,False,,0
U00287,True,2023-09-28,1
U00288,False,,0
U00289,False,,0
U00290,False,,0
U00291,False,,0
U00292,False,,0
U00293,True,2023-09-10,4
U00294,False,,0
U00295,True,2023-09-19,5
U00296,False,,0
U00297,False,,0
U00298,False,,0
U00299,False,,0
U00300,False,,0
U00301,False,,0
U00302,True,2024-01-22,11
U00303,True,2023-07-04,1
U00304,False,,0
U00305,True,2023-05-20,2
U00306,False,,0
U00307,False,,0
U00308,False,,0
U00309,False,,0
U00310,False,,0
U00311,False,,0
U00312,False,,0
U00313,False,,0
U00314,False,,0
U00315,False,,0
U00316,True,2024-01-18,1
U00317,False,,0
U00318,True,2023-10-02,13
U00319,True,2024-01-10,12
U00320,False,,0
U00321,True,2023-06-02,13
U00322,False,,0
U00323,False,,0
U00324,False,,0
U00325,False,,0
U00326,True,2023-03-04,12
U00327,False,,0
U00328,True,2023-09-19,1
U00329,False,,0
U00330,False,,0
U00331,True,2023-07-03,9
U00332,False,,0
U00333,True,2023-07-24,11
U00334,True,2023-05-12,15
U00335,True,2023-03-29,14
U00336,True,2023-07-11,10
U00337,False,,0
U00338,True,2023-03-01,1
U00339,False,,0
U00340,False,,0
U00341,False,,0
U00342,False,,0
U00343,False,,0
U00344,False,,0
U00345,True,2023-08-22,2
U00346,False,,0
U00347,True,2023-09-28,11
U00348,False,,0
U00349,False,,0
U00350,False,,0
U00351,True,2023-12-05,4
U00352,True,2023-07-13,14
U00353,False,,0
U00354,False,,0
U00355,False,,0
U00356,False,,0
U00357,False,,0
U00358,False,,0
U00359,True,2024-03-06,4
U00360,False,,0
U00361,False,,0
U00362,False,,0
U00363,False,,0
U00364,True,2024-01-18,8
U00365,False,,0
U00366,False,,0
U00367,False,,0
U00368,True,2023-12-10,13
U00369,False,,0
U00370,True,2023-11-27,12
U00371,False,,0
U00372,False,,0
U00373,False,,0
U00374,False,,0
U00375,False,,0
U00376,True,2023-03-27,13
U00377,False,,0
U00378,True,2023-12-31,15
U00379,False,,0
U00380,False,,0
U00381,False,,0
U00382,False,,0
U00383,False,,0
U00384,True,2023-04-11,5
U00385,False,,0
U00386,True,2023-12-18,5
U00387,False,,0
U00388,False,,0
U00389,True,2023-06-26,3
U00390,False,,0
U00391,False,,0
U00392,False,,0
U00393,False,,0
U00394,False,,0
U00395,False,,0
U00396,False,,0
U00397,True,2023-09-21,15
U00398,True,2023-06-12,15
U00399,True,2023-08-28,11
U00400,True,2023-07-26,9
U00401,False,,0
U00402,True,2023-12-17,5
U00403,False,,0
U00404,False,,0
U00405,False,,0
U00406,False,,0
U00407,False,,0
U00408,False,,0
U00409,False,,0
U00410,True,2023-04-16,15
U00411,False,,0
U00412,False,,0
U00413,False,,0
U00414,True,2023-04-27,14
U00415,False,,0
U00416,True,2023-01-29,7
U00417,False,,0
U00418,False,,0
U00419,False,,0
U00420,False,,0
U00421,True,2024-02-29,2
U00422,False,,0
U00423,False,,0
U00424,False,,0
U00425,False,,0
U00426,True,2023-08-21,12
U00427,False,,0
U00428,False,,0
U00429,False,,0
U00430,False,,0
U00431,False,,0
U00432,False,,0
U00433,False,,0
U00434,False,,0
U00435,False,,0
U00436,False,,0
U00437,False,,0
U00438,False,,0
U00439,False,,0
U00440,True,2023-08-03,7
U00441,False,,0
U00442,True,2023-10-17,10
U00443,False,,0
U00444,True,2023-06-25,13
U00445,False,,0
U00446,False,,0
U00447,False,,0
U00448,False,,0
U00449,False,,0
U00450,False,,0
U00451,False,,0
U00452,True,2023-06-29,4
U00453,False,,0
U00454,True,2023-04-19,5
U00455,False,,0
U00456,True,2023-11-09,15
U00457,False,,0
U00458,True,2023-07-22,5
U00459,True,2023-06-15,10
U00460,False,,0
U00461,True,2024-01-13,1
U00462,True,2023-11-06,15
U00463,False,,0
U00464,False,,0
U00465,True,2023-08-26,12
U00466,True,2023-05-11,8
U00467,False,,0
U00468,False,,0
U00469,False,,0
U00470,True,2023-04-17,7
U00471,False,,0
U00472,False,,0
U00473,False,,0
U00474,True,2023-10-30,11
U00475,False,,0
U00476,False,,0
U00477,True,2023-03-04,14
U00478,False,,0
U00479,False,,0
U00480,True,2023-11-11,8
U00481,False,,0
U00482,False,,0
U00483,False,,0
U00484,False,,0
U00485,True,2023-03-29,7
U00486,False,,0
U00487,False,,0
U00488,False,,0
U00489,True,2023-10-31,14
U00490,False,,0
U00491,True,2023-10-21,10
U00492,False,,0
U00493,False,,0
U00494,False,,0
U00495,False,,0
U00496,True,2024-01-15,10
U00497,True,2023-03-05,6
U00498,False,,0
U00499,True,2023-12-05,15
U00500,True,2024-03-07,15
U00501,False,,0
U00502,False,,0
U00503,False,,0
U00504,True,2024-02-22,2
U00505,True,2023-08-23,4
U00506,False,,0
U00507,False,,0
U00508,False,,0
U00509,False,,0
U00510,True,2023-05-18,10
U00511,False,,0
U00512,True,2024-01-28,9
U00513,True,2023-06-10,12
U00514,False,,0
U00515,True,2023-12-12,7
U00516,True,2023-04-16,15
U00517,False,,0
U00518,False,,0
U00519,True,2023-02-20,3
U00520,True,2023-06-28,6
U00521,False,,0
U00522,False,,0
U00523,False,,0
U00524,False,,0
U00525,False,,0
U00526,False,,0
U00527,True,2023-06-28,14
U00528,False,,0
U00529,False,,0
U00530,False,,0
U00531,True,2023-06-07,11
