user_id,signup_date,plan_type,revenue_before,revenue_after,churned,country,device,acquisition_channel,sessions,total_time_spent
U00001,2023-04-13,Free,11.69,11.69,0,Germany,Tablet,Referral,8,65.4
U00002,2023-12-15,Free,4.87,14.598071839249378,0,Canada,Tablet,Email,10,96.87
U00003,2023-09-28,Basic,7.14,7.14,1,Germany,Mobile,Email,5,36.26
U00004,2023-04-17,Basic,68.3,72.85837229137023,0,Australia,Desktop,Referral,11,21.04
U00005,2023-03-13,Basic,6.81,7.925239850974066,0,Canada,Mobile,Paid Search,6,37.75
U00006,2023-07-08,Free,4.8,13.77055263154243,0,USA,Tablet,Organic,8,36.76
U00007,2023-01-21,Basic,15.37,26.02023874176804,0,Germany,Tablet,Referral,4,20.48
U00008,2023-04-13,Free,22.23,36.4161187340698,0,Canada,Tablet,Organic,10,55.51
U00009,2023-05-02,Premium,25.83,25.83,0,Brazil,Mobile,Organic,8,80.84
U00010,2023-08-03,Free,28.07,28.07,0,UK,Desktop,Paid Search,8,42.3
U00011,2023-11-27,Basic,0.75,0.75,0,UK,Mobile,Email,10,33.26
U00012,2023-03-29,Free,10.01,10.01,1,Brazil,Tablet,Referral,6,47.16
U00013,2023-04-10,Free,29.74,54.40130379155636,0,Germany,Desktop,Email,8,63.3
U00014,2023-12-26,Free,47.05,47.05,0,Canada,Tablet,Social,2,10.25
U00015,2023-06-01,Premium,18.44,18.44,0,USA,Desktop,Referral,7,46.38
U00016,2023-05-11,Basic,1.07,13.789435558930997,0,Germany,Desktop,Organic,9,47.6
U00017,2023-05-30,Premium,10.11,13.218851829482082,0,India,Tablet,Referral,7,37.97
U00018,2023-11-05,Free,1.54,20.340029370488033,0,Australia,Mobile,Email,6,31.19
U00019,2023-09-15,Free,27.61,29.151828047700725,0,India,Mobile,Social,8,62.58
U00020,2023-12-10,Free,1.31,1.31,0,Australia,Desktop,Paid Search,7,26.62
U00021,2023-10-21,Premium,4.11,8.363737871303668,0,Germany,Tablet,Referral,5,15.91
U00022,2023-07-11,Free,10.79,10.79,1,Brazil,Tablet,Paid Search,4,31.61
U00023,2023-10-04,Premium,12.42,18.645835146085787,0,India,Tablet,Social,6,28.88
U00024,2023-06-10,Premium,10.43,10.43,0,Australia,Mobile,Email,4,21.98
U00025,2023-11-10,Premium,12.45,20.51478111935756,0,Canada,Desktop,Social,6,11.61
U00026,2023-01-22,Basic,24.98,24.98,0,UK,Tablet,Referral,6,48.71
U00027,2023-09-10,Basic,9.22,9.22,1,USA,Mobile,Organic,9,11.11
U00028,2023-08-24,Basic,15.87,26.78003462644577,0,Brazil,Mobile,Email,12,65.04
U00029,2023-12-11,Free,7.23,22.866683955362294,0,Australia,Mobile,Referral,6,35.19
U00030,2023-02-18,Basic,8.73,15.249973271728944,0,India,Tablet,Email,9,41.52
U00031,2023-02-28,Free,19.03,19.03,0,USA,Desktop,Email,11,51.95
U00032,2023-06-19,Free,13.49,13.49,1,Canada,Tablet,Referral,8,44.88
U00033,2023-07-07,Free,25.68,25.68,0,UK,Mobile,Organic,6,32.3
U00034,2023-09-28,Free,16.44,16.44,1,India,Mobile,Organic,8,46.78
U00035,2023-07-09,Free,32.55,32.55,0,India,Desktop,Referral,8,55.46
U00036,2023-06-24,Free,11.72,22.563522820743987,0,USA,Mobile,Email,8,50.49
U00037,2023-02-20,Basic,13.51,13.51,0,USA,Mobile,Email,8,49.43
U00038,2023-12-30,Free,22.17,23.526267694565423,0,Germany,Mobile,Referral,11,31.22
U00039,2023-02-24,Basic,5.0,5.0,0,India,Desktop,Referral,10,31.57
U00040,2023-09-01,Free,9.75,9.75,0,Australia,Mobile,Social,8,57.13
U00041,2023-11-16,Basic,19.61,19.61,0,UK,Tablet,Organic,6,23.14
U00042,2023-05-11,Basic,0.59,40.97083303907277,0,USA,Mobile,Email,9,36.36
U00043,2023-11-03,Basic,11.49,43.524924269725496,0,Brazil,Mobile,Email,8,66.19
U00044,2023-05-15,Basic,18.27,18.27,1,India,Mobile,Email,6,47.2
U00045,2023-01-21,Free,68.45,68.45,0,Brazil,Mobile,Email,11,101.19
U00046,2023-11-25,Basic,41.91,41.91,0,India,Tablet,Referral,7,54.48
U00047,2023-06-16,Free,6.59,11.740697762817371,0,USA,Tablet,Organic,7,52.97
U00048,2023-10-01,Free,14.15,45.02789631398444,1,Germany,Tablet,Social,7,48.76
U00049,2023-03-30,Basic,1.16,1.16,0,India,Tablet,Referral,7,49.56
U00050,2023-11-12,Free,5.51,5.51,0,Canada,Tablet,Email,7,59.58
U00051,2023-01-14,Basic,29.82,29.82,0,Australia,Desktop,Organic,11,31.16
U00052,2023-08-30,Basic,2.63,2.63,0,USA,Tablet,Organic,13,29.06
U00053,2023-09-22,Free,5.96,5.96,0,USA,Desktop,Paid Search,5,37.99
U00054,2023-12-12,Free,57.66,57.66,1,USA,Tablet,Referral,8,52.33
U00055,2023-02-22,Free,34.73,34.73,0,Brazil,Desktop,Organic,7,65.41
U00056,2023-12-06,Premium,30.45,30.45,0,USA,Mobile,Referral,9,67.01
U00057,2023-04-02,Basic,39.98,39.98,1,Australia,Tablet,Organic,7,65.68
U00058,2023-09-21,Free,27.69,27.69,0,Brazil,Desktop,Organic,8,59.19
U00059,2023-02-04,Free,2.57,2.57,1,UK,Mobile,Social,6,54.0
U00060,2023-07-25,Basic,14.54,14.54,1,Canada,Tablet,Paid Search,8,61.62
U00061,2023-03-22,Premium,11.75,11.75,0,Canada,Desktop,Referral,7,52.51
U00062,2023-02-19,Free,7.45,7.45,0,Canada,Mobile,Email,12,92.97
U00063,2023-12-26,Free,35.92,49.09833208127671,0,Germany,Desktop,Social,12,95.22
U00064,2023-01-02,Premium,12.48,15.50769748530766,0,Australia,Tablet,Email,8,45.09
U00065,2023-02-23,Free,1.24,1.24,0,Canada,Mobile,Social,9,52.28
U00066,2023-04-16,Free,6.43,6.43,0,USA,Mobile,Organic,8,58.12
U00067,2023-09-17,Premium,5.19,6.400947296099135,0,UK,Mobile,Paid Search,5,39.15
U00068,2023-11-06,Basic,43.69,62.61492591830351,0,USA,Tablet,Referral,4,14.91
U00069,2023-07-10,Free,20.85,20.85,0,UK,Mobile,Organic,7,45.69
U00070,2023-08-06,Free,16.44,16.44,0,Canada,Desktop,Email,10,71.08
U00071,2023-02-13,Free,14.13,14.221210626320179,0,USA,Tablet,Paid Search,9,51.49
U00072,2023-06-11,Free,21.0,21.0,1,Germany,Mobile,Email,11,87.95
U00073,2023-07-21,Premium,28.12,37.51786377216581,0,USA,Tablet,Referral,10,38.47
U00074,2023-09-27,Free,16.17,16.17,0,Brazil,Tablet,Email,12,106.02
U00075,2023-12-17,Basic,55.7,55.986193405760254,0,USA,Mobile,Paid Search,7,69.15
U00076,2023-10-31,Premium,75.3,75.3,0,India,Mobile,Referral,10,58.08
U00077,2023-09-28,Free,107.38,107.38,0,Brazil,Mobile,Organic,9,49.98
U00078,2023-08-03,Free,22.14,38.34786707502556,1,UK,Desktop,Organic,4,17.54
U00079,2023-09-09,Basic,53.95,53.95,0,Canada,Mobile,Paid Search,7,46.87
U00080,2023-07-09,Premium,10.37,10.37,0,Canada,Desktop,Paid Search,5,21.4
U00081,2023-10-23,Premium,39.26,42.727723459736325,0,USA,Mobile,Paid Search,5,10.92
U00082,2023-08-01,Free,47.98,47.98,0,Canada,Tablet,Email,7,31.67
U00083,2023-07-27,Basic,46.9,46.9,0,Australia,Tablet,Organic,10,84.11
U00084,2023-08-25,Basic,35.54,35.54,0,Canada,Mobile,Organic,6,33.65
U00085,2023-12-04,Premium,10.44,10.44,0,Canada,Mobile,Organic,8,50.03
U00086,2023-02-22,Free,3.46,20.74050859986205,0,USA,Mobile,Referral,9,42.72
